"gene","p_value"
"ENSG00000170439",9.07671969432689e-05
"ENSG00000198934",0.00012852082406856
"ENSG00000134323",0.000141407929897657
"ENSG00000198576",0.000348945971402647
"ENSG00000205363",0.000376825427380449
"ENSG00000015413",0.000419249341846548
"ENSG00000173175",0.000541215559740439
"ENSG00000235280",0.000632928226258071
"ENSG00000237438",0.000637681918360696
"ENSG00000285212",0.000663621943342336
"ENSG00000198125",0.000769008240351647
"ENSG00000242779",0.000775922881431867
"ENSG00000131668",0.000836948376949503
"ENSG00000073910",0.00113109870573977
"ENSG00000187867",0.00116751097959301
"ENSG00000262267",0.00130955390123636
"ENSG00000042062",0.00139405601513069
"ENSG00000286042",0.00155459773129369
"ENSG00000187783",0.00157048123843381
"ENSG00000183837",0.0018522427445826
"ENSG00000196917",0.00192542860735742
"ENSG00000005379",0.00193933395871173
"ENSG00000096088",0.00196361730808308
"ENSG00000234996",0.00218744093619788
"ENSG00000164684",0.00226397453721417
"ENSG00000170775",0.00234328555233132
"ENSG00000053747",0.00244077122384866
"ENSG00000221923",0.00251843774244246
"ENSG00000130294",0.00253591375233655
"ENSG00000129654",0.00254652196041089
"ENSG00000047648",0.00256537513773991
"ENSG00000165821",0.00258807617412327
"ENSG00000197580",0.00272437109370229
"ENSG00000248727",0.00273716419689184
"ENSG00000248801",0.00284004904272455
"ENSG00000086288",0.00294896328194596
"ENSG00000155849",0.00302186336330115
"ENSG00000260549",0.00307455255527998
"ENSG00000137868",0.00308123759097728
"ENSG00000144057",0.00315588133809949
"ENSG00000128268",0.00325213809494024
"ENSG00000122691",0.00333643163039072
"ENSG00000183770",0.00339616450671446
"ENSG00000128591",0.00343460122810146
"ENSG00000183580",0.00350336916142213
"ENSG00000226287",0.00352407432957941
"ENSG00000132182",0.00356395936836509
"ENSG00000183023",0.00358035064863053
"ENSG00000007062",0.00379256195498783
"ENSG00000144028",0.00379961355094379
"ENSG00000130224",0.00384254014016871
"ENSG00000272674",0.00388538795995364
"ENSG00000115457",0.00411207965231957
"ENSG00000155066",0.0041794476552264
"ENSG00000105523",0.00427128477213378
"ENSG00000165323",0.00436385961271982
"ENSG00000130203",0.00439254901849588
"ENSG00000172350",0.004394806778384
"ENSG00000181408",0.0044929671311055
"ENSG00000106258",0.00451070949504543
"ENSG00000166025",0.00454542307135619
"ENSG00000265107",0.00458771797387917
"ENSG00000077092",0.00460905481627965
"ENSG00000185090",0.00463209116839132
"ENSG00000129657",0.00474610223572567
"ENSG00000167641",0.00479079056321411
"ENSG00000092068",0.00479351652057491
"ENSG00000007202",0.00481292323745664
"ENSG00000131477",0.00483567497444797
"ENSG00000182013",0.00486614388105515
"ENSG00000125531",0.0049136936961649
"ENSG00000076770",0.00507191683194451
"ENSG00000146674",0.00515902276662703
"ENSG00000253361",0.00523618495021984
"ENSG00000139209",0.00527820034271291
"ENSG00000174306",0.00529749123687317
"ENSG00000154127",0.00536824568940033
"ENSG00000138615",0.00537891984273242
"ENSG00000133026",0.00540665001493462
"ENSG00000140470",0.00544833611373931
"ENSG00000076706",0.00562253326057137
"ENSG00000133056",0.00562657444289669
"ENSG00000122367",0.00564792384363573
"ENSG00000270547",0.00571634409088633
"ENSG00000129682",0.00571731930574643
"ENSG00000270372",0.00573435690911497
"ENSG00000255364",0.00594278125417864
"ENSG00000256618",0.00594623954842494
"ENSG00000178919",0.00595283650613986
"ENSG00000135423",0.00604503215719147
"ENSG00000145703",0.0060768158954603
"ENSG00000249790",0.00623431039316906
"ENSG00000188505",0.00635187070603015
"ENSG00000144711",0.00635912873219233
"ENSG00000196367",0.00636841126671883
"ENSG00000119681",0.00642160288737708
"ENSG00000149591",0.00643217755938676
"ENSG00000269416",0.00644163696458627
"ENSG00000139737",0.0066184616996966
"ENSG00000278318",0.00663590509515549
"ENSG00000177614",0.00665024216520909
"ENSG00000158813",0.00666795661999178
"ENSG00000116157",0.00672568506028033
"ENSG00000135773",0.00678204072829093
"ENSG00000176029",0.0068198296422482
"ENSG00000143839",0.00682844347837124
"ENSG00000253729",0.00690916044784966
"ENSG00000128242",0.00699191809918023
"ENSG00000135917",0.00704250911926308
"ENSG00000187037",0.00710175243100572
"ENSG00000137747",0.00718280155290315
"ENSG00000137404",0.007244206327491
"ENSG00000124074",0.00724833729079265
"ENSG00000124343",0.00730107401062347
"ENSG00000004399",0.00737454034851131
"ENSG00000197937",0.00741620682974965
"ENSG00000135912",0.00750466413454506
"ENSG00000149639",0.00750740291930134
"ENSG00000138030",0.00774499031953162
"ENSG00000138759",0.00776707670034836
"ENSG00000188322",0.00777489380678155
"ENSG00000101335",0.00777751926074627
"ENSG00000140526",0.00785426474243372
"ENSG00000086967",0.00795189573667669
"ENSG00000167644",0.00803604117510832
"ENSG00000181634",0.00805592392374364
"ENSG00000117115",0.00806110303393479
"ENSG00000103710",0.0080773869343213
"ENSG00000206625",0.00813770034351438
"ENSG00000157765",0.00816056623171614
"ENSG00000109846",0.00828676315701817
"ENSG00000050030",0.00829407593156517
"ENSG00000166448",0.00838628909177375
"ENSG00000180447",0.00849640677437817
"ENSG00000136167",0.00857009590099747
"ENSG00000126464",0.00860716269749417
"ENSG00000228205",0.00864301232766664
"ENSG00000141556",0.00872250868770267
"ENSG00000101040",0.00872977533141786
"ENSG00000184368",0.00874686966225986
"ENSG00000136783",0.00890479028174299
"ENSG00000181192",0.00890982853522711
"ENSG00000196154",0.00893474111249963
"ENSG00000132718",0.00896000354952609
"ENSG00000166126",0.00899189050351475
"ENSG00000134330",0.00908220477906083
"ENSG00000181104",0.00912253224842569
"ENSG00000203485",0.00922965947157157
"ENSG00000212864",0.00930781879583433
"ENSG00000103196",0.00931252085991616
"ENSG00000184515",0.00934799964557894
"ENSG00000138028",0.00935165391515507
"ENSG00000197102",0.00952525001712486
"ENSG00000089154",0.0095263355020305
"ENSG00000166106",0.00955197136112268
"ENSG00000148444",0.00973551964594454
"ENSG00000003987",0.00983246964673064
"ENSG00000099998",0.0099054554873083
"ENSG00000251247",0.00991438622232807
"ENSG00000129990",0.00997342932282419
"ENSG00000165084",0.0100047285504551
"ENSG00000134986",0.0100049404882789
"ENSG00000106526",0.0102031685314244
"ENSG00000188883",0.0103354905630209
"ENSG00000101460",0.0103766572004916
"ENSG00000143469",0.0104688936853166
"ENSG00000021645",0.010492174225349
"ENSG00000091831",0.010669516448486
"ENSG00000087303",0.010688000279546
