gene_id,counts,sample,quality,length,geneFlag,xFlag,jobFlag
ENSG00000169403,179,SRR31476644,29,47,1,1,19023435
ENSG00000084628,3,SRR31476644,29,47,1,1,19023435
ENSG00000060688,862,SRR31476644,29,47,1,1,19023435
ENSG00000171612,1280,SRR31476644,29,47,1,1,19023435
ENSG00000270927,0,SRR31476644,29,47,1,1,19023435
ENSG00000188910,74,SRR31476644,29,47,1,1,19023435
ENSG00000230523,0,SRR31476644,29,47,1,1,19023435
ENSG00000158161,758,SRR31476644,29,47,1,1,19023435
ENSG00000142684,659,SRR31476644,29,47,1,1,19023435
ENSG00000121769,280,SRR31476644,29,47,1,1,19023435
ENSG00000142627,3443,SRR31476644,29,47,1,1,19023435
ENSG00000284668,0,SRR31476644,29,47,1,1,19023435
ENSG00000233234,0,SRR31476644,29,47,1,1,19023435
ENSG00000142632,465,SRR31476644,29,47,1,1,19023435
ENSG00000234593,0,SRR31476644,29,47,1,1,19023435
ENSG00000270605,16,SRR31476644,29,47,1,1,19023435
ENSG00000189337,906,SRR31476644,29,47,1,1,19023435
ENSG00000235143,0,SRR31476644,29,47,1,1,19023435
ENSG00000225478,0,SRR31476644,29,47,1,1,19023435
ENSG00000028137,9,SRR31476644,29,47,1,1,19023435
ENSG00000204464,0,SRR31476644,29,47,1,1,19023435
ENSG00000233372,0,SRR31476644,29,47,1,1,19023435
ENSG00000283259,0,SRR31476644,29,47,1,1,19023435
ENSG00000284543,225,SRR31476644,29,47,1,1,19023435
ENSG00000130939,911,SRR31476644,29,47,1,1,19023435
ENSG00000175147,60,SRR31476644,29,47,1,1,19023435
ENSG00000127472,0,SRR31476644,29,47,1,1,19023435
ENSG00000060656,373,SRR31476644,29,47,1,1,19023435
ENSG00000163867,609,SRR31476644,29,47,1,1,19023435
ENSG00000232768,0,SRR31476644,29,47,1,1,19023435
ENSG00000230214,0,SRR31476644,29,47,1,1,19023435
ENSG00000189280,2,SRR31476644,29,47,1,1,19023435
ENSG00000134698,198,SRR31476644,29,47,1,1,19023435
ENSG00000272420,0,SRR31476644,29,47,1,1,19023435
ENSG00000132881,115,SRR31476644,29,47,1,1,19023435
ENSG00000273274,10,SRR31476644,29,47,1,1,19023435
ENSG00000236648,0,SRR31476644,29,47,1,1,19023435
ENSG00000232273,537,SRR31476644,29,47,1,1,19023435
ENSG00000009709,0,SRR31476644,29,47,1,1,19023435
ENSG00000287396,2,SRR31476644,29,47,1,1,19023435
ENSG00000158008,8,SRR31476644,29,47,1,1,19023435
ENSG00000130940,98,SRR31476644,29,47,1,1,19023435
ENSG00000163879,34,SRR31476644,29,47,1,1,19023435
ENSG00000227527,0,SRR31476644,29,47,1,1,19023435
ENSG00000116954,1115,SRR31476644,29,47,1,1,19023435
ENSG00000228589,1115,SRR31476644,29,47,1,1,19023435
ENSG00000163873,0,SRR31476644,29,47,1,1,19023435
ENSG00000117215,0,SRR31476644,29,47,1,1,19023435
ENSG00000230163,1,SRR31476644,29,47,1,1,19023435
ENSG00000227538,0,SRR31476644,29,47,1,1,19023435
ENSG00000044012,1,SRR31476644,29,47,1,1,19023435
ENSG00000179051,2871,SRR31476644,29,47,1,1,19023435
ENSG00000215895,2885,SRR31476644,29,47,1,1,19023435
ENSG00000284650,0,SRR31476644,29,47,1,1,19023435
ENSG00000237329,0,SRR31476644,29,47,1,1,19023435
ENSG00000236948,0,SRR31476644,29,47,1,1,19023435
ENSG00000126067,2865,SRR31476644,29,47,1,1,19023435
ENSG00000274944,234,SRR31476644,29,47,1,1,19023435
ENSG00000272078,44,SRR31476644,29,47,1,1,19023435
ENSG00000230451,0,SRR31476644,29,47,1,1,19023435
ENSG00000231606,0,SRR31476644,29,47,1,1,19023435
ENSG00000215900,4,SRR31476644,29,47,1,1,19023435
ENSG00000284632,0,SRR31476644,29,47,1,1,19023435
ENSG00000241014,7,SRR31476644,29,47,1,1,19023435
ENSG00000054118,2807,SRR31476644,29,47,1,1,19023435
ENSG00000254553,158,SRR31476644,29,47,1,1,19023435
ENSG00000284653,0,SRR31476644,29,47,1,1,19023435
ENSG00000237749,3697,SRR31476644,29,47,1,1,19023435
ENSG00000276747,0,SRR31476644,29,47,1,1,19023435
ENSG00000284705,0,SRR31476644,29,47,1,1,19023435
ENSG00000228776,0,SRR31476644,29,47,1,1,19023435
ENSG00000159339,2,SRR31476644,29,47,1,1,19023435
ENSG00000261781,0,SRR31476644,29,47,1,1,19023435
ENSG00000284743,0,SRR31476644,29,47,1,1,19023435
ENSG00000158315,19,SRR31476644,29,47,1,1,19023435
ENSG00000186973,1,SRR31476644,29,47,1,1,19023435
ENSG00000146463,1889,SRR31476644,29,47,1,1,19023435
ENSG00000271741,549,SRR31476644,29,47,1,1,19023435
ENSG00000142686,139,SRR31476644,29,47,1,1,19023435
ENSG00000224751,62,SRR31476644,29,47,1,1,19023435
ENSG00000117148,15,SRR31476644,29,47,1,1,19023435
ENSG00000230585,3,SRR31476644,29,47,1,1,19023435
ENSG00000117000,785,SRR31476644,29,47,1,1,19023435
ENSG00000284989,927,SRR31476644,29,47,1,1,19023435
ENSG00000231630,0,SRR31476644,29,47,1,1,19023435
ENSG00000092853,377,SRR31476644,29,47,1,1,19023435
ENSG00000255811,2,SRR31476644,29,47,1,1,19023435
ENSG00000134697,2095,SRR31476644,29,47,1,1,19023435
ENSG00000187513,3,SRR31476644,29,47,1,1,19023435
ENSG00000225142,0,SRR31476644,29,47,1,1,19023435
ENSG00000230138,0,SRR31476644,29,47,1,1,19023435
ENSG00000223390,37,SRR31476644,29,47,1,1,19023435
ENSG00000284720,0,SRR31476644,29,47,1,1,19023435
ENSG00000225671,21,SRR31476644,29,47,1,1,19023435
ENSG00000116151,47,SRR31476644,29,47,1,1,19023435
ENSG00000006555,84,SRR31476644,29,47,1,1,19023435
ENSG00000236111,1526,SRR31476644,29,47,1,1,19023435
ENSG00000066056,135,SRR31476644,29,47,1,1,19023435
ENSG00000214114,695,SRR31476644,29,47,1,1,19023435
ENSG00000116544,3,SRR31476644,29,47,1,1,19023435
ENSG00000231900,0,SRR31476644,29,47,1,1,19023435
ENSG00000236723,248,SRR31476644,29,47,1,1,19023435
ENSG00000232467,11,SRR31476644,29,47,1,1,19023435
ENSG00000117016,70,SRR31476644,29,47,1,1,19023435
ENSG00000169213,62,SRR31476644,29,47,1,1,19023435
ENSG00000163866,566,SRR31476644,29,47,1,1,19023435
ENSG00000237130,9,SRR31476644,29,47,1,1,19023435
ENSG00000232335,27,SRR31476644,29,47,1,1,19023435
ENSG00000260971,5,SRR31476644,29,47,1,1,19023435
ENSG00000284696,0,SRR31476644,29,47,1,1,19023435
ENSG00000238242,0,SRR31476644,29,47,1,1,19023435
ENSG00000285839,1890,SRR31476644,29,47,1,1,19023435
ENSG00000232762,0,SRR31476644,29,47,1,1,19023435
ENSG00000162384,434,SRR31476644,29,47,1,1,19023435
ENSG00000162391,45,SRR31476644,29,47,1,1,19023435
ENSG00000117859,2671,SRR31476644,29,47,1,1,19023435
ENSG00000228121,234,SRR31476644,29,47,1,1,19023435
ENSG00000253313,301,SRR31476644,29,47,1,1,19023435
ENSG00000162396,241,SRR31476644,29,47,1,1,19023435
ENSG00000284686,136,SRR31476644,29,47,1,1,19023435
ENSG00000162378,776,SRR31476644,29,47,1,1,19023435
ENSG00000233079,0,SRR31476644,29,47,1,1,19023435
ENSG00000259818,0,SRR31476644,29,47,1,1,19023435
ENSG00000229444,1,SRR31476644,29,47,1,1,19023435
ENSG00000240563,0,SRR31476644,29,47,1,1,19023435
ENSG00000234318,2,SRR31476644,29,47,1,1,19023435
ENSG00000284773,14,SRR31476644,29,47,1,1,19023435
ENSG00000234481,0,SRR31476644,29,47,1,1,19023435
ENSG00000117862,1990,SRR31476644,29,47,1,1,19023435
ENSG00000235612,0,SRR31476644,29,47,1,1,19023435
ENSG00000228369,0,SRR31476644,29,47,1,1,19023435
ENSG00000227485,0,SRR31476644,29,47,1,1,19023435
ENSG00000224609,2,SRR31476644,29,47,1,1,19023435
ENSG00000235545,0,SRR31476644,29,47,1,1,19023435
ENSG00000236646,0,SRR31476644,29,47,1,1,19023435
ENSG00000232198,0,SRR31476644,29,47,1,1,19023435
ENSG00000238063,0,SRR31476644,29,47,1,1,19023435
ENSG00000227104,0,SRR31476644,29,47,1,1,19023435
ENSG00000243725,652,SRR31476644,29,47,1,1,19023435
ENSG00000171872,0,SRR31476644,29,47,1,1,19023435
ENSG00000162407,573,SRR31476644,29,47,1,1,19023435
ENSG00000285079,0,SRR31476644,29,47,1,1,19023435
ENSG00000163877,316,SRR31476644,29,47,1,1,19023435
ENSG00000228929,1834,SRR31476644,29,47,1,1,19023435
ENSG00000224570,0,SRR31476644,29,47,1,1,19023435
ENSG00000224980,0,SRR31476644,29,47,1,1,19023435
ENSG00000278967,0,SRR31476644,29,47,1,1,19023435
ENSG00000157184,541,SRR31476644,29,47,1,1,19023435
ENSG00000198815,1456,SRR31476644,29,47,1,1,19023435
ENSG00000134744,474,SRR31476644,29,47,1,1,19023435
ENSG00000233910,0,SRR31476644,29,47,1,1,19023435
ENSG00000287703,0,SRR31476644,29,47,1,1,19023435
ENSG00000283039,0,SRR31476644,29,47,1,1,19023435
ENSG00000229032,0,SRR31476644,29,47,1,1,19023435
ENSG00000229294,0,SRR31476644,29,47,1,1,19023435
ENSG00000234088,0,SRR31476644,29,47,1,1,19023435
ENSG00000236973,0,SRR31476644,29,47,1,1,19023435
ENSG00000277397,0,SRR31476644,29,47,1,1,19023435
ENSG00000235446,0,SRR31476644,29,47,1,1,19023435
ENSG00000162385,699,SRR31476644,29,47,1,1,19023435
ENSG00000234264,7,SRR31476644,29,47,1,1,19023435
