p_value_sd,effect_size_sd,aligner,min_phred,min_length,trim_poly_g,trim_poly_x,norm_method
0.2175536344239213,0.5683273423394016,STAR,30,37,0,1,upperquartile
0.2175990007496021,0.5674556296959893,STAR,30,37,1,0,TMMwsp
0.21747474041393094,0.5648630243370012,STAR,30,39,0,0,none
0.2177148530421521,0.5679604941681542,STAR,30,41,0,0,TMM
0.217495778986106,0.5680947009604338,STAR,30,41,1,1,upperquartile
0.21748698017963328,0.5648903305112656,STAR,30,43,1,0,none
0.2176272801605205,0.5683808659039259,STAR,30,44,0,0,upperquartile
0.21762050504954814,0.5665777745733169,STAR,30,47,0,1,upperquartile
0.2172415043804521,0.5629930445492438,HISAT2,20,35,0,0,none
0.2174126589069025,0.5674778545640636,HISAT2,20,36,0,0,upperquartile
0.21721436206470054,0.5630965935321028,HISAT2,20,36,1,1,none
0.2171997889285745,0.563086148859579,HISAT2,20,42,0,1,none
0.2174603303983974,0.5667447257672772,HISAT2,20,42,1,0,TMM
0.2176280466171748,0.5670220913289691,HISAT2,20,43,1,0,RLE
0.21753226598312622,0.5666394351889956,HISAT2,20,44,0,0,TMM
0.21752471599121867,0.5667994644824509,HISAT2,20,44,1,1,TMM
0.21734822441937443,0.5630350838443465,HISAT2,20,45,1,0,none
0.21763194901099817,0.5669759557587305,HISAT2,20,48,0,1,RLE
0.21726588888870832,0.5629953441236706,HISAT2,20,49,1,1,none
0.21754028931998426,0.5676763668939597,HISAT2,20,50,0,1,upperquartile
0.21752930027816458,0.5671271916256181,HISAT2,21,31,0,1,RLE
0.21743896188930725,0.5667006055372112,HISAT2,21,31,1,0,TMM
0.21740482413181555,0.5667908930718351,HISAT2,21,36,0,1,TMM
0.21753328206210767,0.5661841956394884,HISAT2,21,49,0,0,TMMwsp
0.21726588888870832,0.5629953441236706,HISAT2,21,50,1,1,none
0.21722030407435214,0.5630489470322818,HISAT2,22,32,0,1,none
0.21756974567830292,0.5652325989611451,HISAT2,22,36,1,0,TMMwsp
0.21756885512562318,0.5670298758169959,HISAT2,22,40,0,0,RLE
0.21743486863790887,0.5677299117937052,HISAT2,22,42,1,0,upperquartile
0.21748063180740163,0.5674228213249347,HISAT2,22,43,0,0,upperquartile
0.2174887407391855,0.5678471359209959,HISAT2,22,43,0,1,upperquartile
0.21760969204633493,0.5670299193215848,HISAT2,22,43,1,1,RLE
0.21760165393215375,0.5648294055851203,HISAT2,22,46,1,1,TMM
0.21763194901099817,0.5669759557587305,HISAT2,22,49,0,1,RLE
0.21753328206210767,0.5661841956394884,HISAT2,22,50,0,0,TMMwsp
0.2174145078161439,0.5657870466836525,HISAT2,23,30,1,0,TMM
0.21717836128824378,0.563105074097751,HISAT2,23,31,1,1,none
0.21734983954228976,0.5666975069479177,HISAT2,23,32,1,1,TMM
0.21734459766376188,0.5664857538912128,HISAT2,23,35,0,1,TMMwsp
0.21732093555853257,0.5667327988440333,HISAT2,23,39,1,1,TMM
0.2175230823159984,0.567066726456958,HISAT2,23,40,0,0,RLE
0.21746943871472446,0.5671516298644806,HISAT2,24,34,0,1,RLE
0.2173907262195694,0.5666852949164959,HISAT2,24,38,0,0,TMM
0.21736320235280934,0.567619646263336,HISAT2,24,40,0,0,upperquartile
0.21754522144282148,0.5661320384219592,HISAT2,24,41,1,0,RLE
0.21748428576621734,0.567831920596998,HISAT2,24,45,1,1,upperquartile
0.21757856880194365,0.5669752143857189,HISAT2,24,48,1,1,RLE
0.2174778093133983,0.5665267379695091,HISAT2,24,49,1,0,TMM
0.21738248679115643,0.5667043494160825,HISAT2,25,31,1,0,TMM
0.21733705737479084,0.5664915263207689,HISAT2,25,33,1,1,TMMwsp
0.21721145189860142,0.5630012624092366,HISAT2,25,37,0,0,none
0.21749202718472066,0.5677484683975624,HISAT2,25,46,1,1,upperquartile
0.21746868903560318,0.5666949740056698,HISAT2,25,48,1,1,TMM
0.2173848703116108,0.5666938402219527,HISAT2,26,34,0,0,TMM
0.2173216402944718,0.5667294922881462,HISAT2,26,39,0,1,TMM
0.21752439950019914,0.5670412535020306,HISAT2,26,39,1,0,RLE
0.21741219011637605,0.565489099735982,HISAT2,26,41,1,0,TMMwsp
0.21738517428253462,0.5677487025178298,HISAT2,26,42,1,0,upperquartile
0.217440356701306,0.5666799327290132,HISAT2,26,43,0,1,TMM
0.21744670995752963,0.5665546137899914,HISAT2,26,43,1,0,TMM
0.21746194187637918,0.566712720740318,HISAT2,26,44,1,1,TMM
0.2174809753658786,0.5675834524101079,HISAT2,26,46,0,0,upperquartile
0.2172261015875946,0.5630048628418685,HISAT2,26,46,0,1,none
0.21727384049561485,0.5629530364250865,HISAT2,26,46,1,0,none
0.21757856880194365,0.5669752143857189,HISAT2,26,47,0,1,RLE
0.2174809753658786,0.5675834524101079,HISAT2,26,48,0,0,upperquartile
0.21746868903560318,0.5666949740056698,HISAT2,26,50,0,1,TMM
0.21717729792373278,0.5631283051741752,HISAT2,27,30,1,1,none
0.21735339965215206,0.5675812773469328,HISAT2,27,32,0,0,upperquartile
0.21747792027549828,0.5671948967497078,HISAT2,27,36,0,1,RLE
0.2174772465668414,0.5671919922933739,HISAT2,27,36,1,1,RLE
0.21721145189860142,0.5630012624092366,HISAT2,27,37,0,0,none
0.21754979467662305,0.5642562070413091,HISAT2,27,38,0,0,TMMwsp
0.21738725841914774,0.5663989506207031,HISAT2,27,39,0,0,TMMwsp
0.21736654492863483,0.5682611811526183,HISAT2,27,41,1,1,upperquartile
0.21738461355227273,0.567586424393807,HISAT2,27,42,0,0,upperquartile
0.2175033586110702,0.5671297613102589,HISAT2,27,42,0,1,RLE
0.21738517428253462,0.5677487025178298,HISAT2,27,42,1,0,upperquartile
0.2175896013824869,0.5671442167695254,HISAT2,27,43,0,0,RLE
0.217440356701306,0.5666799327290132,HISAT2,27,43,1,1,TMM
0.2174844454671813,0.5665129905285013,HISAT2,27,49,0,0,TMM
0.21717828184915333,0.563377218851287,HISAT2,28,33,0,1,none
0.2173397934459993,0.5671415744190301,HISAT2,28,33,1,1,TMM
0.21732414672392086,0.5684071610749819,HISAT2,28,34,1,1,upperquartile
0.2173726108832305,0.5682006258581184,HISAT2,28,37,1,0,upperquartile
0.2175292239243825,0.5672832412081721,HISAT2,28,38,1,0,RLE
0.21724869673093924,0.5632985036183603,HISAT2,28,40,1,0,none
0.21750194456900337,0.5673881065802883,HISAT2,28,40,1,1,RLE
0.2174642667067319,0.5670405115719768,HISAT2,28,44,1,1,TMM
0.21745796400720158,0.5668862633644353,HISAT2,28,48,1,1,TMM
0.2174563601700567,0.5666917536800504,HISAT2,28,50,1,1,TMMwsp
0.2173285678556621,0.5684662742811881,HISAT2,29,33,0,1,upperquartile
0.2173726108832305,0.5682006258581184,HISAT2,29,37,1,0,upperquartile
0.2173931140489464,0.5666853037802055,HISAT2,29,38,1,0,TMMwsp
0.21753019264491436,0.5673037929604862,HISAT2,29,40,0,0,RLE
0.21745702681440382,0.5683917775539079,HISAT2,29,44,0,0,upperquartile
0.2172903485673232,0.5632476135647742,HISAT2,29,47,1,0,none
0.21761358074156376,0.5672112555636022,HISAT2,29,50,0,0,RLE
0.2172903485673232,0.5632476135647742,HISAT2,29,50,1,0,none
0.21722027550465658,0.5632927833112465,HISAT2,30,31,0,0,none
0.2173439027486575,0.5684083322401375,HISAT2,30,37,0,1,upperquartile
0.21739254698787536,0.5667004600714318,HISAT2,30,37,1,0,TMMwsp
0.21723287938865232,0.5632812036561339,HISAT2,30,39,0,0,none
0.21740309100475305,0.5670634550721281,HISAT2,30,41,0,0,TMM
0.21736087450996275,0.5686312540216273,HISAT2,30,41,1,1,upperquartile
0.21729619512284443,0.5633178171915761,HISAT2,30,43,1,0,none
0.21745702681440382,0.5683917775539079,HISAT2,30,44,0,0,upperquartile
0.21747598473181706,0.5681268130017662,HISAT2,30,47,0,1,upperquartile
