"gene","logFC","logCPM","LR","PValue","FDR"
"ENSG00000248487",-0.112784839577517,3.29031867033442,0.188461707253935,0.66420002080126,0.903852448288691
"ENSG00000213453",-0.16992177036163,9.18188150702324,0.188326583070875,0.664313052481962,0.903865242180134
"ENSG00000166582",-0.124908343740014,1.36951710875304,0.188310410180989,0.66432658436902,0.903865242180134
"ENSG00000275582",0.169058363862503,0.554400510962453,0.188307960082756,0.664328634430998,0.903865242180134
"ENSG00000163050",0.183546365214511,2.37596203328807,0.188225015708802,0.664398045533633,0.903905612997669
"ENSG00000053770",0.0778721565153268,6.05109436797366,0.18804762509572,0.664546553964182,0.904024434252642
"ENSG00000155329",0.0849237964295401,4.85358046107086,0.18802575212138,0.664564871412047,0.904024434252642
"ENSG00000120992",0.0762971223918005,7.03534181440346,0.187884013454848,0.664683600662683,0.90413187302197
"ENSG00000127184",-0.0725523093252265,7.50283307107529,0.187825615409743,0.664732534024869,0.904144365181467
"ENSG00000284116",0.159394722123682,2.73265800215366,0.187661715370105,0.6648699187569,0.904193038126205
"ENSG00000137955",-0.0862915123193319,6.57619581394303,0.187549305569853,0.664964184399661,0.904193038126205
"ENSG00000223391",-0.135400477977632,0.950030608017284,0.187524496707246,0.664984993362357,0.904193038126205
"ENSG00000141556",0.10724760498846,5.65521666927828,0.187504917663432,0.665001416857067,0.904193038126205
"ENSG00000149201",0.191264207919057,-1.05087485381269,0.187448097143276,0.665049085395794,0.904193038126205
"ENSG00000259500",0.135682010305345,1.35050048321552,0.187314576513869,0.665161133867616,0.904193038126205
"ENSG00000224611",0.249111898576235,-0.492271830907123,0.187283506224491,0.665187214379859,0.904193038126205
"ENSG00000279529",-0.120907043885442,1.47841683776402,0.187282966839436,0.665187667164288,0.904193038126205
"ENSG00000260111",0.154830505614055,0.972083215178273,0.187214188936366,0.665245408818627,0.904193038126205
"ENSG00000144893",-0.39601305524502,0.626535954867556,0.187203107592293,0.665254713204442,0.904193038126205
"ENSG00000174567",0.260104016038954,1.29359942012439,0.18717736002557,0.665276333260824,0.904193038126205
"ENSG00000181830",-0.151203600464895,3.21181800188949,0.1871278356831,0.665317923477682,0.904193038126205
"ENSG00000068885",0.0800628532741415,5.86351626633512,0.187105174964209,0.66533695597896,0.904193038126205
"ENSG00000116771",0.132643316004173,0.800044783024938,0.187102210241358,0.665339446119946,0.904193038126205
"ENSG00000211460",0.0726484035484432,6.43411863936498,0.186929007265576,0.665484964073078,0.904193038126205
"ENSG00000140450",0.243497923993907,1.5112305293618,0.186923699760918,0.665489424481641,0.904193038126205
"ENSG00000120899",0.244820287563263,2.52563984873634,0.186918678875267,0.665493644085764,0.904193038126205
"ENSG00000289132",0.199991147666053,-0.711069406885711,0.186914864133351,0.665496850079212,0.904193038126205
"ENSG00000257846",0.207596770932423,-0.772394328473273,0.186883034760347,0.665523601701791,0.904193038126205
"ENSG00000268575",0.0893215191740462,4.3636461082781,0.18676397160246,0.66562369465547,0.90427501395409
"ENSG00000143839",-0.565509360416992,-0.829664938112305,0.186700205987091,0.665677316134307,0.904293850501131
"ENSG00000197183",0.123338318280198,4.14916168081308,0.186535017451854,0.665816276250006,0.904366994755789
"ENSG00000121316",0.200385275552672,-0.0970829064325136,0.186513497074982,0.665834385024107,0.904366994755789
"ENSG00000253861",-0.0911181510105923,5.13805462302251,0.186494421112275,0.665850437930854,0.904366994755789
"ENSG00000239345",0.0895336102790009,4.08785051954919,0.186356861597346,0.665966226602955,0.904421520066866
"ENSG00000231607",-0.116765634639695,2.68249300563647,0.186352253384797,0.665970106374745,0.904421520066866
"ENSG00000236768",0.074670085143656,6.94917409032301,0.186188023505483,0.666108412873175,0.904555340848551
"ENSG00000285889",0.205127742693495,-1.1518133583574,0.186115246824794,0.666169725026656,0.904584595872265
"ENSG00000254469",0.244907883234319,-0.373388561893864,0.185907815992187,0.666344557286254,0.904639250263071
"ENSG00000234742",0.0738553080927031,7.73383374785609,0.18582244995585,0.666416541310463,0.904639250263071
"ENSG00000169435",-0.160828975687397,2.05302289589421,0.185817981830454,0.666420309550777,0.904639250263071
"ENSG00000179528",0.225560065232845,-0.772583257000553,0.185737272642975,0.666488385740324,0.904639250263071
"ENSG00000229917",-0.128857741069233,1.47742901687138,0.185721557736689,0.666501642912167,0.904639250263071
"ENSG00000067369",-0.0729408324193855,6.00910809885252,0.185708073895462,0.666513018476741,0.904639250263071
"ENSG00000235663",-0.208583939441486,-0.85402863103764,0.185697606235941,0.66652184979471,0.904639250263071
"ENSG00000259322",0.219486277152769,-0.743056641266939,0.185610038153317,0.666595740488978,0.904639250263071
"ENSG00000270606",-0.195427480511009,-0.75752236908431,0.185599072769201,0.666604994629347,0.904639250263071
"ENSG00000225950",-0.304034674323754,0.269869979207535,0.1855634421259,0.666635067038066,0.904639250263071
"ENSG00000153896",-0.14085319822823,2.3950708919712,0.185548760410854,0.666647459461426,0.904639250263071
"ENSG00000127507",0.121743653542624,2.1625422702305,0.185388839476822,0.666782481893307,0.904768498069866
"ENSG00000182310",-0.197380325761247,2.7268975344798,0.185275593097625,0.666878138409055,0.904844317361749
"ENSG00000233276",-0.0738887891020839,7.02019407444198,0.185214786367766,0.666929514701923,0.904860050188485
"ENSG00000286444",0.218414883242907,-0.131476135733982,0.185121820597432,0.667008081857799,0.904868043713379
"ENSG00000234297",0.144477630756039,0.889625143018144,0.185113672389601,0.667014969178854,0.904868043713379
"ENSG00000164168",-0.0746240676956745,4.90494704240756,0.184969766777435,0.667136635865129,0.90497912210092
"ENSG00000101400",-0.0933647689202527,3.70040643283397,0.184846193789019,0.667241156860521,0.905003503075476
"ENSG00000287156",-0.201525167888877,-0.352688573865096,0.184819197725471,0.667263996287265,0.905003503075476
"ENSG00000112079",0.0733508533024249,5.73922992864917,0.184807408111653,0.667273971251157,0.905003503075476
"ENSG00000205659",0.0812512240489728,4.4275005537438,0.184700023229443,0.667364844878904,0.905062796301618
"ENSG00000102078",-0.129756401747171,3.56925782517503,0.1846617166794,0.667397269074432,0.905062796301618
"ENSG00000267225",0.285251560996202,-1.39281052143157,0.184440188929481,0.667584857201918,0.905103749566548
"ENSG00000100814",-0.0721703491408245,5.39206163873265,0.184437413316193,0.667587208417773,0.905103749566548
"ENSG00000232916",-0.169920349159624,1.29446396070499,0.184357368523822,0.667655023201425,0.905103749566548
