"gene","logFC","logCPM","LR","PValue","FDR"
"ENSG00000232916",-0.167198942545457,1.29044451220727,0.178366812095168,0.672780549391259,0.908106608581188
"ENSG00000165025",-0.46918895691306,-1.26492408529169,0.178364700730491,0.672782373647941,0.908106608581188
"ENSG00000223391",-0.132060573438436,0.945970573937001,0.178302795173057,0.672835866808273,0.908117172745559
"ENSG00000227825",0.170921357548682,-0.495243231790569,0.178210826816379,0.672915357715806,0.908117172745559
"ENSG00000277998",0.0935560374994109,5.42770058245619,0.178193888197709,0.672930000888498,0.908117172745559
"ENSG00000152284",0.215339119873351,1.76773572593692,0.178171020452213,0.672949771000036,0.908117172745559
"ENSG00000114446",0.102632005210753,6.10004968308149,0.178044271192732,0.673059378087788,0.908211243793147
"ENSG00000162601",0.0794284325678634,4.86198263844118,0.177927793941601,0.673160142934366,0.90825566619123
"ENSG00000213774",-0.154909753709576,0.0549946838745469,0.17791397965938,0.673172096291444,0.90825566619123
"ENSG00000242338",-0.141766164753283,1.84423354084141,0.177772784903253,0.673294302026795,0.908348694949273
"ENSG00000242288",0.107281550501626,3.15528610614004,0.177709601993786,0.673349006095965,0.908348694949273
"ENSG00000234383",0.111133801077069,2.25950833516116,0.177696033774512,0.673360755019723,0.908348694949273
"ENSG00000158987",-0.0920105792896664,4.35393587233083,0.177608612218563,0.673436467320564,0.908396998227383
"ENSG00000174567",0.253516205845962,1.28723146220386,0.177544739770854,0.673491798557732,0.908417805437471
"ENSG00000282951",0.113791231865146,2.18306172555472,0.177401652460103,0.673615794364039,0.908437353154634
"ENSG00000278943",0.0897920361616366,4.38636205684232,0.177231838144182,0.673763027533867,0.908437353154634
"ENSG00000141551",-0.078506413302017,6.9544087999877,0.177211789012883,0.67378041610154,0.908437353154634
"ENSG00000135655",-0.075730386132449,6.61191337635417,0.177197943365954,0.673792425076767,0.908437353154634
"ENSG00000256087",0.0909167977272585,3.85328417015756,0.177193627419787,0.673796168611052,0.908437353154634
"ENSG00000232931",0.155707684935899,0.646213438951924,0.17719152436105,0.673797992766433,0.908437353154634
"ENSG00000273604",0.127713771790928,3.37045988618285,0.177160297822161,0.673825079604968,0.908437353154634
"ENSG00000268199",0.159882222972876,0.909674050831791,0.177159761245942,0.673825545071868,0.908437353154634
"ENSG00000065427",-0.0669602431611168,6.98576360931313,0.177056574625531,0.673915072398094,0.908470182196265
"ENSG00000229917",-0.125831016534305,1.47334741333754,0.177039704666678,0.673929712122137,0.908470182196265
"ENSG00000169435",-0.157352895628033,2.05389404836302,0.176745658178998,0.674185017177239,0.908734793178076
"ENSG00000169398",0.0654456349378734,7.28621139287033,0.176721679154916,0.674205847917085,0.908734793178076
"ENSG00000233680",0.116174177504808,1.86786159035447,0.176578819466679,0.674329985570683,0.908848300268267
"ENSG00000253861",-0.0886385152139654,5.13400583967545,0.176372620029614,0.67450926640536,0.908951666699332
"ENSG00000049618",-0.0847792413564674,4.58534516029695,0.176331945011338,0.674544646001349,0.908951666699332
"ENSG00000103249",-0.0960569185824353,5.64718554620367,0.176321640544245,0.674553609706693,0.908951666699332
"ENSG00000162695",0.0889048989059824,4.13330665913324,0.176262860198516,0.67460474776301,0.908951666699332
"ENSG00000213453",-0.164398147992099,9.17774044540741,0.176261046093487,0.674606326167862,0.908951666699332
"ENSG00000246596",0.123894517746906,1.63218136931538,0.176209314190614,0.674651340751151,0.908958518043277
"ENSG00000213285",-0.134699749166128,1.77482349714701,0.176093456957537,0.674752182276356,0.908998750944234
"ENSG00000291312",-0.177834414798713,0.989984927717409,0.176083253213823,0.674761065430314,0.908998750944234
"ENSG00000230291",0.0789803960841098,5.00142629733029,0.175922132792547,0.674901373455396,0.909052844160468
"ENSG00000125954",0.0916177772001289,5.3179833694983,0.17587455356351,0.674942821185682,0.909052844160468
"ENSG00000283663",-0.284615293376769,-0.755865602766501,0.175817199480221,0.674992792856307,0.909052844160468
"ENSG00000099949",-0.0909546503569682,4.14133702370209,0.175814210629699,0.674995397255385,0.909052844160468
"ENSG00000126705",0.142393473759575,4.04077300144878,0.175798670701624,0.675008938724892,0.909052844160468
"ENSG00000004866",0.0993548599334518,4.68999321573884,0.175762084975412,0.675040822249541,0.909052844160468
"ENSG00000112667",-0.102702450533442,4.92985480377981,0.175608254892772,0.675174923939053,0.909178377677177
"ENSG00000143554",0.205711696795925,3.03022288535151,0.175563537880208,0.675213919039288,0.909178377677177
"ENSG00000185989",0.108306757863725,4.05830779717358,0.175413045951665,0.675345197178708,0.909278811798108
"ENSG00000137700",-0.212041164970523,4.65781807640433,0.175286902178499,0.675455286773948,0.909278811798108
