"gene","logFC","logCPM","LR","PValue","FDR"
"ENSG00000290846",-0.0593340355992887,1.17176621835973,0.0300577102005279,0.862359350333671,0.966382534296056
"ENSG00000073150",-0.0782476357205671,3.21261123110765,0.0300528973109664,0.862370260439804,0.966382534296056
"ENSG00000274471",-0.0786670423455824,-0.0584372767593871,0.0300343063570407,0.862412411826012,0.966382534296056
"ENSG00000243649",-0.0523596705105261,2.45209230029657,0.0300310814928082,0.862419724948371,0.966382534296056
"ENSG00000008282",0.0303818843208631,7.3623583317468,0.0300019744778837,0.862485750116109,0.966402589838212
"ENSG00000099203",-0.0320409206756096,5.06372457757261,0.0299857372409833,0.862522596338061,0.966402589838212
"ENSG00000140950",0.0413065627653444,2.89961826792902,0.0299625626506739,0.862575202897318,0.966413927943178
"ENSG00000105983",-0.0420678495978551,5.22497296818755,0.0299234936202311,0.862663937460953,0.966465740111651
"ENSG00000100154",0.0402240133257168,3.78713369492636,0.0298664975340479,0.862793495476746,0.966517299722032
"ENSG00000289238",-0.0912904511576304,-0.796469154968414,0.0298465026344923,0.862838976119532,0.966517299722032
"ENSG00000260342",0.0296964004591942,8.04771893447219,0.0297848872236273,0.862979226035526,0.966517299722032
"ENSG00000108848",-0.0374501476935022,6.47315871787552,0.029777243417664,0.862996635392482,0.966517299722032
"ENSG00000259709",-0.0667643084199249,0.238964725963608,0.0297734581045166,0.863005257586691,0.966517299722032
"ENSG00000114739",-0.0690677602283472,2.50756497278877,0.0297710050403737,0.863010845482737,0.966517299722032
"ENSG00000101278",-0.0567157692972621,5.16767367586857,0.02975901815811,0.863038154111241,0.966517299722032
"ENSG00000273628",0.0533213697116606,2.18246241456376,0.0297538660764509,0.863049893372646,0.966517299722032
"ENSG00000143224",0.0462995877567773,2.96808941670461,0.029703677875045,0.863164304359508,0.966573108324463
"ENSG00000129538",-0.183418313794586,0.410434490216273,0.0296642947368255,0.863254153412256,0.966573108324463
"ENSG00000122335",0.0510548373267791,3.47092487002914,0.0296528206557465,0.863280342037118,0.966573108324463
"ENSG00000163660",-0.0362712112628466,7.08103621998099,0.0296391588890685,0.863311530675189,0.966573108324463
"ENSG00000224786",0.0706636224919312,0.029895666549154,0.0296388663612106,0.863312198572048,0.966573108324463
"ENSG00000223628",-0.0515092790873495,2.64086897394204,0.0296197450864586,0.863355863450331,0.966574418961521
"ENSG00000165669",0.034629410731968,5.57784225160281,0.0294539790100772,0.863735012641996,0.966862290182182
"ENSG00000100697",0.0300780027655185,5.40155055959785,0.0294378089774625,0.863772056353997,0.966862290182182
"ENSG00000166888",-0.0290698819984418,6.63043641347975,0.0294222127289316,0.863807795515586,0.966862290182182
"ENSG00000250011",0.0864694589096401,0.453051515041841,0.0294103162253787,0.863835063182814,0.966862290182182
"ENSG00000288570",-0.0877887153716641,-1.06765375205709,0.0293889512363159,0.863884047576705,0.966862290182182
"ENSG00000244627",0.0657673370798217,-0.252880335221517,0.029379676025693,0.863905318941205,0.966862290182182
