gene_id,counts,sample,quality,length,geneFlag,xFlag,jobFlag
ENSG00000090020,683,SRR31476643,22,35,0,0,19023445
ENSG00000157978,330,SRR31476643,22,35,0,0,19023445
ENSG00000130770,2669,SRR31476643,22,35,0,0,19023445
ENSG00000229044,188,SRR31476643,22,35,0,0,19023445
ENSG00000162512,1386,SRR31476643,22,35,0,0,19023445
ENSG00000158006,256,SRR31476643,22,35,0,0,19023445
ENSG00000214812,10,SRR31476643,22,35,0,0,19023445
ENSG00000126698,2770,SRR31476643,22,35,0,0,19023445
ENSG00000229447,0,SRR31476643,22,35,0,0,19023445
ENSG00000229607,0,SRR31476643,22,35,0,0,19023445
ENSG00000130766,1465,SRR31476643,22,35,0,0,19023445
ENSG00000168528,1108,SRR31476643,22,35,0,0,19023445
ENSG00000196581,3171,SRR31476643,22,35,0,0,19023445
ENSG00000169403,267,SRR31476643,22,35,0,0,19023445
ENSG00000084628,3,SRR31476643,22,35,0,0,19023445
ENSG00000060688,1015,SRR31476643,22,35,0,0,19023445
ENSG00000171612,1261,SRR31476643,22,35,0,0,19023445
ENSG00000270927,0,SRR31476643,22,35,0,0,19023445
ENSG00000188910,86,SRR31476643,22,35,0,0,19023445
ENSG00000230523,0,SRR31476643,22,35,0,0,19023445
ENSG00000158161,806,SRR31476643,22,35,0,0,19023445
ENSG00000142684,756,SRR31476643,22,35,0,0,19023445
ENSG00000121769,331,SRR31476643,22,35,0,0,19023445
ENSG00000142627,2656,SRR31476643,22,35,0,0,19023445
ENSG00000284668,0,SRR31476643,22,35,0,0,19023445
ENSG00000233234,0,SRR31476643,22,35,0,0,19023445
ENSG00000142632,512,SRR31476643,22,35,0,0,19023445
ENSG00000234593,0,SRR31476643,22,35,0,0,19023445
ENSG00000270605,10,SRR31476643,22,35,0,0,19023445
ENSG00000189337,855,SRR31476643,22,35,0,0,19023445
ENSG00000235143,0,SRR31476643,22,35,0,0,19023445
ENSG00000225478,0,SRR31476643,22,35,0,0,19023445
ENSG00000028137,7,SRR31476643,22,35,0,0,19023445
ENSG00000204464,0,SRR31476643,22,35,0,0,19023445
ENSG00000233372,0,SRR31476643,22,35,0,0,19023445
ENSG00000283259,0,SRR31476643,22,35,0,0,19023445
ENSG00000284543,246,SRR31476643,22,35,0,0,19023445
ENSG00000130939,962,SRR31476643,22,35,0,0,19023445
ENSG00000175147,71,SRR31476643,22,35,0,0,19023445
ENSG00000127472,1,SRR31476643,22,35,0,0,19023445
ENSG00000060656,375,SRR31476643,22,35,0,0,19023445
ENSG00000163867,766,SRR31476643,22,35,0,0,19023445
ENSG00000232768,0,SRR31476643,22,35,0,0,19023445
ENSG00000230214,0,SRR31476643,22,35,0,0,19023445
ENSG00000189280,4,SRR31476643,22,35,0,0,19023445
ENSG00000134698,171,SRR31476643,22,35,0,0,19023445
ENSG00000272420,0,SRR31476643,22,35,0,0,19023445
ENSG00000132881,114,SRR31476643,22,35,0,0,19023445
ENSG00000273274,22,SRR31476643,22,35,0,0,19023445
ENSG00000236648,0,SRR31476643,22,35,0,0,19023445
ENSG00000232273,495,SRR31476643,22,35,0,0,19023445
ENSG00000009709,0,SRR31476643,22,35,0,0,19023445
ENSG00000287396,0,SRR31476643,22,35,0,0,19023445
ENSG00000158008,4,SRR31476643,22,35,0,0,19023445
ENSG00000130940,75,SRR31476643,22,35,0,0,19023445
ENSG00000163879,36,SRR31476643,22,35,0,0,19023445
ENSG00000227527,1,SRR31476643,22,35,0,0,19023445
ENSG00000116954,1193,SRR31476643,22,35,0,0,19023445
ENSG00000228589,1274,SRR31476643,22,35,0,0,19023445
ENSG00000163873,1,SRR31476643,22,35,0,0,19023445
ENSG00000117215,0,SRR31476643,22,35,0,0,19023445
ENSG00000230163,2,SRR31476643,22,35,0,0,19023445
ENSG00000227538,0,SRR31476643,22,35,0,0,19023445
ENSG00000044012,0,SRR31476643,22,35,0,0,19023445
ENSG00000179051,3175,SRR31476643,22,35,0,0,19023445
ENSG00000215895,2125,SRR31476643,22,35,0,0,19023445
ENSG00000284650,0,SRR31476643,22,35,0,0,19023445
ENSG00000237329,0,SRR31476643,22,35,0,0,19023445
ENSG00000236948,0,SRR31476643,22,35,0,0,19023445
ENSG00000126067,3281,SRR31476643,22,35,0,0,19023445
