gene_id,counts,sample,quality,length,geneFlag,xFlag,jobFlag
ENSG00000279928,7,SRR31476645,23,35,1,1,19057440
ENSG00000228037,0,SRR31476645,23,35,1,1,19057440
ENSG00000142611,1,SRR31476645,23,35,1,1,19057440
ENSG00000284616,0,SRR31476645,23,35,1,1,19057440
ENSG00000157911,797,SRR31476645,23,35,1,1,19057440
ENSG00000269896,36,SRR31476645,23,35,1,1,19057440
ENSG00000228463,222,SRR31476645,23,35,1,1,19057440
ENSG00000260972,0,SRR31476645,23,35,1,1,19057440
ENSG00000224340,0,SRR31476645,23,35,1,1,19057440
ENSG00000226374,0,SRR31476645,23,35,1,1,19057440
ENSG00000229280,0,SRR31476645,23,35,1,1,19057440
ENSG00000142655,490,SRR31476645,23,35,1,1,19057440
ENSG00000232596,0,SRR31476645,23,35,1,1,19057440
ENSG00000235054,1,SRR31476645,23,35,1,1,19057440
ENSG00000231510,0,SRR31476645,23,35,1,1,19057440
ENSG00000149527,2,SRR31476645,23,35,1,1,19057440
ENSG00000284739,0,SRR31476645,23,35,1,1,19057440
ENSG00000171621,364,SRR31476645,23,35,1,1,19057440
ENSG00000272235,0,SRR31476645,23,35,1,1,19057440
ENSG00000284694,0,SRR31476645,23,35,1,1,19057440
ENSG00000224387,0,SRR31476645,23,35,1,1,19057440
ENSG00000142583,21,SRR31476645,23,35,1,1,19057440
ENSG00000284674,0,SRR31476645,23,35,1,1,19057440
ENSG00000224338,0,SRR31476645,23,35,1,1,19057440
ENSG00000287727,0,SRR31476645,23,35,1,1,19057440
ENSG00000286448,5,SRR31476645,23,35,1,1,19057440
ENSG00000284703,2,SRR31476645,23,35,1,1,19057440
ENSG00000226457,283,SRR31476645,23,35,1,1,19057440
ENSG00000173614,570,SRR31476645,23,35,1,1,19057440
ENSG00000215720,0,SRR31476645,23,35,1,1,19057440
ENSG00000241326,55,SRR31476645,23,35,1,1,19057440
ENSG00000233623,0,SRR31476645,23,35,1,1,19057440
ENSG00000162592,25,SRR31476645,23,35,1,1,19057440
ENSG00000204624,0,SRR31476645,23,35,1,1,19057440
ENSG00000142606,129,SRR31476645,23,35,1,1,19057440
ENSG00000225931,0,SRR31476645,23,35,1,1,19057440
ENSG00000171729,453,SRR31476645,23,35,1,1,19057440
ENSG00000279457,640,SRR31476645,23,35,1,1,19057440
ENSG00000229393,0,SRR31476645,23,35,1,1,19057440
ENSG00000037637,740,SRR31476645,23,35,1,1,19057440
ENSG00000287586,6,SRR31476645,23,35,1,1,19057440
ENSG00000159423,517,SRR31476645,23,35,1,1,19057440
ENSG00000227169,0,SRR31476645,23,35,1,1,19057440
ENSG00000283356,0,SRR31476645,23,35,1,1,19057440
ENSG00000157916,2097,SRR31476645,23,35,1,1,19057440
ENSG00000157881,177,SRR31476645,23,35,1,1,19057440
ENSG00000238290,1,SRR31476645,23,35,1,1,19057440
ENSG00000225387,0,SRR31476645,23,35,1,1,19057440
ENSG00000048707,786,SRR31476645,23,35,1,1,19057440
ENSG00000225196,1,SRR31476645,23,35,1,1,19057440
ENSG00000162444,74,SRR31476645,23,35,1,1,19057440
ENSG00000279625,0,SRR31476645,23,35,1,1,19057440
ENSG00000180758,189,SRR31476645,23,35,1,1,19057440
ENSG00000184677,394,SRR31476645,23,35,1,1,19057440
ENSG00000288398,116,SRR31476645,23,35,1,1,19057440
ENSG00000224621,2,SRR31476645,23,35,1,1,19057440
ENSG00000285833,0,SRR31476645,23,35,1,1,19057440
ENSG00000131697,153,SRR31476645,23,35,1,1,19057440
ENSG00000284692,1,SRR31476645,23,35,1,1,19057440
ENSG00000284745,0,SRR31476645,23,35,1,1,19057440
ENSG00000280222,0,SRR31476645,23,35,1,1,19057440
ENSG00000285945,1,SRR31476645,23,35,1,1,19057440
ENSG00000197921,0,SRR31476645,23,35,1,1,19057440
ENSG00000233755,0,SRR31476645,23,35,1,1,19057440
ENSG00000233929,151,SRR31476645,23,35,1,1,19057440
ENSG00000234166,83,SRR31476645,23,35,1,1,19057440
ENSG00000235282,0,SRR31476645,23,35,1,1,19057440
ENSG00000055070,3960,SRR31476645,23,35,1,1,19057440
ENSG00000175087,451,SRR31476645,23,35,1,1,19057440
ENSG00000230035,0,SRR31476645,23,35,1,1,19057440
ENSG00000225643,5,SRR31476645,23,35,1,1,19057440
ENSG00000284666,0,SRR31476645,23,35,1,1,19057440
ENSG00000228943,0,SRR31476645,23,35,1,1,19057440
ENSG00000234397,732,SRR31476645,23,35,1,1,19057440
ENSG00000284309,0,SRR31476645,23,35,1,1,19057440
ENSG00000162511,7,SRR31476645,23,35,1,1,19057440
ENSG00000158014,29,SRR31476645,23,35,1,1,19057440
ENSG00000204138,2063,SRR31476645,23,35,1,1,19057440
ENSG00000233419,0,SRR31476645,23,35,1,1,19057440
ENSG00000235263,0,SRR31476645,23,35,1,1,19057440
ENSG00000228176,0,SRR31476645,23,35,1,1,19057440
ENSG00000231251,0,SRR31476645,23,35,1,1,19057440
ENSG00000142675,283,SRR31476645,23,35,1,1,19057440
ENSG00000197245,82,SRR31476645,23,35,1,1,19057440
ENSG00000130772,472,SRR31476645,23,35,1,1,19057440
ENSG00000215899,1312,SRR31476645,23,35,1,1,19057440
